Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
Генерали Југоисточна Европа,2012-08-29,28.8.2012,44.1167,44.1167,44.1167
Генерали Глобал- Растечки Пазари,2012-08-29,27.8.2012,48.5792,48.5792,48.5792
Иново Статус Балансиран,2012-08-29,27.8.2012,27.8085,27.8085,27.8085
НЛБ БРИК,2012-08-29,27.8.2012,139.9476,139.9476,139.9476
НЛБ Америка,2012-08-29,27.8.2012,83.9789,83.9789,83.9789
КБ Инвест - Балансиран,2012-08-29,27.8.2012,86.7778,86.7778,86.7778
КБ Инвест - Обврзници,2012-08-29,27.8.2012,105.8192,105.8192,105.8192
КБ Инвест Паричен,2012-08-29,27.8.2012,104.0608,104.0608,104.0608
Генерали Југоисточна Европа,2012-08-27,24.8.2012,44.1374,44.1374,44.1374
Генерали Глобал- Растечки Пазари,2012-08-27,24.8.2012,48.7106,48.7106,48.7106
Иново Статус Балансиран,2012-08-27,24.8.2012,27.7924,27.7924,27.7924
НЛБ БРИК,2012-08-27,24.8.2012,140.3677,140.3677,140.3677
НЛБ Америка,2012-08-27,24.8.2012,83.8341,83.8341,83.8341
КБ Инвест - Балансиран,2012-08-27,24.8.2012,86.573,86.573,86.573
КБ Инвест - Обврзници,2012-08-27,24.8.2012,105.7515,105.7515,105.7515
КБ Инвест Паричен,2012-08-27,24.8.2012,104.0363,104.0363,104.0363
Генерали Југоисточна Европа,2012-08-24,23.8.2012,44.2952,44.2952,44.2952
Генерали Глобал- Растечки Пазари,2012-08-24,23.8.2012,49.062,49.062,49.062
Иново Статус Балансиран,2012-08-24,23.8.2012,27.9699,27.9699,27.9699
НЛБ БРИК,2012-08-24,23.8.2012,141.5434,141.5434,141.5434
НЛБ Америка,2012-08-24,23.8.2012,84.675,84.675,84.675
КБ Инвест - Балансиран,2012-08-24,23.8.2012,86.7406,86.7406,86.7406
КБ Инвест - Обврзници,2012-08-24,23.8.2012,105.7336,105.7336,105.7336
КБ Инвест Паричен,2012-08-24,23.8.2012,104.0272,104.0272,104.0272
Генерали Југоисточна Европа,2012-08-23,22.8.2012,44.2438,44.2438,44.2438
Генерали Глобал- Растечки Пазари,2012-08-23,22.8.2012,49.2885,49.2885,49.2885
Иново Статус Балансиран,2012-08-23,22.8.2012,27.5618,27.5618,27.5618
НЛБ БРИК,2012-08-23,22.8.2012,142.1792,142.1792,142.1792
НЛБ Америка,2012-08-23,22.8.2012,84.6985,84.6985,84.6985
КБ Инвест - Балансиран,2012-08-23,22.8.2012,86.8881,86.8881,86.8881
КБ Инвест - Обврзници,2012-08-23,22.8.2012,105.7063,105.7063,105.7063
КБ Инвест Паричен,2012-08-23,22.8.2012,104.0187,104.0187,104.0187
Генерали Југоисточна Европа,2012-08-22,21.8.2012,44.4736,44.4736,44.4736
Генерали Глобал- Растечки Пазари,2012-08-22,21.8.2012,49.6493,49.6493,49.6493
Иново Статус Балансиран,2012-08-22,21.8.2012,27.5327,27.5327,27.5327
НЛБ БРИК,2012-08-22,21.8.2012,143.1148,143.1148,143.1148
НЛБ Америка,2012-08-22,21.8.2012,84.5955,84.5955,84.5955
КБ Инвест - Балансиран,2012-08-22,21.8.2012,86.9149,86.9149,86.9149
КБ Инвест - Обврзници,2012-08-22,21.8.2012,105.706,105.706,105.706
КБ Инвест Паричен,2012-08-22,21.8.2012,104.0107,104.0107,104.0107
Генерали Југоисточна Европа,2012-08-21,17.8.2012,44.5838,44.5838,44.5838
Генерали Глобал- Растечки Пазари,2012-08-21,17.8.2012,49.8525,49.8525,49.8525
Иново Статус Балансиран,2012-08-21,17.8.2012,27.6218,27.6218,27.6218
НЛБ БРИК,2012-08-21,17.8.2012,144.085,144.085,144.085
НЛБ Америка,2012-08-21,17.8.2012,84.923,84.923,84.923
КБ Инвест - Балансиран,2012-08-21,17.8.2012,86.9904,86.9904,86.9904
КБ Инвест - Обврзници,2012-08-21,17.8.2012,105.6345,105.6345,105.6345
КБ Инвест Паричен,2012-08-21,17.8.2012,103.9786,103.9786,103.9786
Генерали Југоисточна Европа,2012-08-17,16.8.2012,44.7497,44.7497,44.7497
Генерали Глобал- Растечки Пазари,2012-08-17,16.8.2012,49.8341,49.8341,49.8341
Иново Статус Балансиран,2012-08-17,16.8.2012,27.3514,27.3514,27.3514
НЛБ БРИК,2012-08-17,16.8.2012,144.0257,144.0257,144.0257
НЛБ Америка,2012-08-17,16.8.2012,84.9429,84.9429,84.9429
КБ Инвест - Балансиран,2012-08-17,16.8.2012,86.8794,86.8794,86.8794
КБ Инвест - Обврзници,2012-08-17,16.8.2012,105.6253,105.6253,105.6253
КБ Инвест Паричен,2012-08-17,16.8.2012,103.9702,103.9702,103.9702
Генерали Југоисточна Европа,2012-08-16,15.8.2012,44.5578,44.5578,44.5578
Генерали Глобал- Растечки Пазари,2012-08-16,15.8.2012,49.3216,49.3216,49.3216
Иново Статус Балансиран,2012-08-16,15.8.2012,27.2625,27.2625,27.2625
НЛБ БРИК,2012-08-16,15.8.2012,143.5199,143.5199,143.5199
НЛБ Америка,2012-08-16,15.8.2012,84.7144,84.7144,84.7144
КБ Инвест - Балансиран,2012-08-16,15.8.2012,86.3972,86.3972,86.3972
КБ Инвест - Обврзници,2012-08-16,15.8.2012,105.6133,105.6133,105.6133
КБ Инвест Паричен,2012-08-16,15.8.2012,103.9622,103.9622,103.9622
Генерали Југоисточна Европа,2012-08-15,14.8.2012,44.6117,44.6117,44.6117
Генерали Глобал- Растечки Пазари,2012-08-15,14.8.2012,49.2962,49.2962,49.2962
Иново Статус Балансиран,2012-08-15,14.8.2012,27.4861,27.4861,27.4861
НЛБ БРИК,2012-08-15,14.8.2012,143.7196,143.7196,143.7196
НЛБ Америка,2012-08-15,14.8.2012,84.1212,84.1212,84.1212
КБ Инвест - Балансиран,2012-08-15,14.8.2012,87.1811,87.1811,87.1811
КБ Инвест - Обврзници,2012-08-15,14.8.2012,105.5518,105.5518,105.5518
КБ Инвест Паричен,2012-08-15,14.8.2012,103.9541,103.9541,103.9541
Генерали Југоисточна Европа,2012-08-14,13.8.2012,44.9725,44.9725,44.9725
Генерали Глобал- Растечки Пазари,2012-08-14,13.8.2012,49.5938,49.5938,49.5938
Иново Статус Балансиран,2012-08-14,13.8.2012,27.5326,27.5326,27.5326
НЛБ БРИК,2012-08-14,13.8.2012,143.9467,143.9467,143.9467
НЛБ Америка,2012-08-14,13.8.2012,84.2425,84.2425,84.2425
КБ Инвест - Балансиран,2012-08-14,13.8.2012,87.2807,87.2807,87.2807
КБ Инвест - Обврзници,2012-08-14,13.8.2012,105.5321,105.5321,105.5321
КБ Инвест Паричен,2012-08-14,13.8.2012,103.9462,103.9462,103.9462
Генерали Југоисточна Европа,2012-08-13,10.8.2012,45.2056,45.2056,45.2056
Генерали Глобал- Растечки Пазари,2012-08-13,10.8.2012,49.6219,49.6219,49.6219
Иново Статус Балансиран,2012-08-13,10.8.2012,27.154,27.154,27.154
НЛБ БРИК,2012-08-13,10.8.2012,144.3261,144.3261,144.3261
НЛБ Америка,2012-08-13,10.8.2012,84.2226,84.2226,84.2226
КБ Инвест - Балансиран,2012-08-13,10.8.2012,87.296,87.296,87.296
КБ Инвест - Обврзници,2012-08-13,10.8.2012,105.4701,105.4701,105.4701
КБ Инвест Паричен,2012-08-13,10.8.2012,103.9226,103.9226,103.9226
Генерали Југоисточна Европа,2012-10-08,09.8.2012,44.9722,44.9722,44.9722
Генерали Глобал- Растечки Пазари,2012-10-08,09.8.2012,49.5297,49.5297,49.5297
Иново Статус Балансиран,2012-10-08,09.8.2012,27.4955,27.4955,27.4955
НЛБ БРИК,2012-10-08,09.8.2012,144.2489,144.2489,144.2489
НЛБ Америка,2012-10-08,09.8.2012,84.0904,84.0904,84.0904
КБ Инвест - Балансиран,2012-10-08,09.8.2012,87.4524,87.4524,87.4524
КБ Инвест - Обврзници,2012-10-08,09.8.2012,105.5877,105.5877,105.5877
КБ Инвест Паричен,2012-10-08,09.8.2012,103.9135,103.9135,103.9135
Генерали Југоисточна Европа,2012-08-08,07.8.2012,44.8753,44.8753,44.8753
Генерали Глобал- Растечки Пазари,2012-08-08,07.8.2012,49.337,49.337,49.337
Иново Статус Балансиран,2012-08-08,07.8.2012,27.4982,27.4982,27.4982
НЛБ БРИК,2012-08-08,07.8.2012,143.3259,143.3259,143.3259
НЛБ Америка,2012-08-08,07.8.2012,84.3582,84.3582,84.3582
КБ Инвест - Балансиран,2012-08-08,07.8.2012,87.1955,87.1955,87.1955
КБ Инвест - Обврзници,2012-08-08,07.8.2012,105.5165,105.5165,105.5165
КБ Инвест Паричен,2012-08-08,07.8.2012,103.8976,103.8976,103.8976
Генерали Југоисточна Европа,2012-06-08,03.8.2012,44.6702,44.6702,44.6702
Генерали Глобал- Растечки Пазари,2012-06-08,03.8.2012,49.2175,49.2175,49.2175
Иново Статус Балансиран,2012-06-08,03.8.2012,27.5105,27.5105,27.5105
НЛБ Америка,2012-06-08,03.8.2012,84.5586,84.5586,84.5586
КБ Инвест - Балансиран,2012-06-08,03.8.2012,86.6276,86.6276,86.6276
КБ Инвест - Обврзници,2012-06-08,03.8.2012,105.5202,105.5202,105.5202
КБ Инвест Паричен,2012-06-08,03.8.2012,103.8673,103.8673,103.8673
Генерали Југоисточна Европа,2012-03-08,02.8.2012,44.2029,44.2029,44.2029
Генерали Глобал- Растечки Пазари,2012-03-08,02.8.2012,48.8318,48.8318,48.8318
Иново Статус Балансиран,2012-03-08,02.8.2012,27.4148,27.4148,27.4148
НЛБ БРИК,2012-06-08,02.8.2012,140.2564,140.2564,140.2564
НЛБ Америка,2012-03-08,02.8.2012,84.0191,84.0191,84.0191
КБ Инвест - Балансиран,2012-03-08,02.8.2012,85.7345,85.7345,85.7345
КБ Инвест - Обврзници,2012-03-08,02.8.2012,105.4952,105.4952,105.4952
КБ Инвест Паричен,2012-03-08,02.8.2012,103.8596,103.8596,103.8596
Генерали Југоисточна Европа,2012-02-10,01.10.2012,43.8995,43.8995,43.8995
Генерали Глобал- Растечки Пазари,2012-02-10,01.10.2012,47.8386,47.8386,47.8386
Иново Статус Балансиран,2012-02-10,01.10.2012,27.4238,27.4238,27.4238
НЛБ БРИК,2012-02-10,01.10.2012,142.5593,142.5593,142.5593
НЛБ Америка,2012-02-10,01.10.2012,87.403,87.403,87.403
КБ Инвест - Балансиран,2012-02-10,01.10.2012,87.0722,87.0722,87.0722
КБ Инвест - Обврзници,2012-02-10,01.10.2012,106.4731,106.4731,106.4731
КБ Инвест Паричен,2012-02-10,01.10.2012,104.3459,104.3459,104.3459
Генерали Југоисточна Европа,2012-01-10,28.9.2012,43.6441,43.6441,43.6441
Генерали Глобал- Растечки Пазари,2012-01-10,28.9.2012,47.7486,47.7486,47.7486
Иново Статус Балансиран,2012-01-10,28.9.2012,27.4427,27.4427,27.4427
НЛБ БРИК,2012-01-10,28.9.2012,141.9947,141.9947,141.9947
НЛБ Америка,2012-01-10,28.9.2012,86.9671,86.9671,86.9671
КБ Инвест - Балансиран,2012-01-10,28.9.2012,86.9976,86.9976,86.9976
КБ Инвест - Обврзници,2012-01-10,28.9.2012,106.4453,106.4453,106.4453
КБ Инвест Паричен,2012-01-10,28.9.2012,104.3234,104.3234,104.3234
НЛБ Кеш Депозит,2012-01-10,28.9.2012,100.1511,100.1511,100.1511
Генерали Југоисточна Европа,2012-09-28,27.9.2012,43.9283,43.9283,43.9283
Генерали Глобал- Растечки Пазари,2012-09-28,27.9.2012,47.7909,47.7909,47.7909
Иново Статус Балансиран,2012-09-28,27.9.2012,27.4822,27.4822,27.4822
НЛБ БРИК,2012-09-28,27.9.2012,142.3448,142.3448,142.3448
НЛБ Америка,2012-09-28,27.9.2012,87.0072,87.0072,87.0072
КБ Инвест - Балансиран,2012-09-28,27.9.2012,87.434,87.434,87.434
КБ Инвест - Обврзници,2012-09-28,27.9.2012,106.4598,106.4598,106.4598
КБ Инвест Паричен,2012-09-28,27.9.2012,104.3151,104.3151,104.3151
НЛБ Кеш Депозит,2012-09-28,27.9.2012,100.1385,100.1385,100.1385
Генерали Југоисточна Европа,2012-09-27,26.9.2012,43.7472,43.7472,43.7472
Генерали Глобал- Растечки Пазари,2012-09-27,26.9.2012,47.4442,47.4442,47.4442
Иново Статус Балансиран,2012-09-27,26.9.2012,27.5387,27.5387,27.5387
НЛБ БРИК,2012-09-27,26.9.2012,140.7475,140.7475,140.7475
НЛБ Америка,2012-09-27,26.9.2012,86.6591,86.6591,86.6591
КБ Инвест - Балансиран,2012-09-27,26.9.2012,87.1063,87.1063,87.1063
КБ Инвест - Обврзници,2012-09-27,26.9.2012,106.4292,106.4292,106.4292
КБ Инвест Паричен,2012-09-27,26.9.2012,104.3076,104.3076,104.3076
НЛБ Кеш Депозит,2012-09-27,26.9.2012,100.1259,100.1259,100.1259
Генерали Југоисточна Европа,2012-09-26,25.9.2012,44.1334,44.1334,44.1334
Генерали Глобал- Растечки Пазари,2012-09-26,25.9.2012,47.6307,47.6307,47.6307
Иново Статус Балансиран,2012-09-26,25.9.2012,27.5532,27.5532,27.5532
НЛБ БРИК,2012-09-26,25.9.2012,141.7709,141.7709,141.7709
НЛБ Америка,2012-09-26,25.9.2012,86.2491,86.2491,86.2491
КБ Инвест - Балансиран,2012-09-26,25.9.2012,87.3978,87.3978,87.3978
КБ Инвест - Обврзници,2012-09-26,25.9.2012,106.4311,106.4311,106.4311
КБ Инвест Паричен,2012-09-26,25.9.2012,104.2996,104.2996,104.2996
НЛБ Кеш Депозит,2012-09-26,25.9.2012,100.1133,100.1133,100.1133
Генерали Југоисточна Европа,2012-09-25,24.9.2012,44.1107,44.1107,44.1107
Генерали Глобал- Растечки Пазари,2012-09-25,24.9.2012,47.7478,47.7478,47.7478
Иново Статус Балансиран,2012-09-25,24.9.2012,27.5078,27.5078,27.5078
НЛБ БРИК,2012-09-25,24.9.2012,142.3713,142.3713,142.3713
НЛБ Америка,2012-09-25,24.9.2012,85.1875,85.1875,85.1875
КБ Инвест - Балансиран,2012-09-25,24.9.2012,87.3236,87.3236,87.3236
КБ Инвест - Обврзници,2012-09-25,24.9.2012,106.4171,106.4171,106.4171
КБ Инвест Паричен,2012-09-25,24.9.2012,104.2916,104.2916,104.2916
НЛБ Кеш Депозит,2012-09-25,24.9.2012,100.1007,100.1007,100.1007
Генерали Југоисточна Европа,2012-09-24,21.9.2012,44.3009,44.3009,44.3009
Генерали Глобал- Растечки Пазари,2012-09-24,21.9.2012,47.8835,47.8835,47.8835
Иново Статус Балансиран,2012-09-24,21.9.2012,27.4934,27.4934,27.4934
НЛБ БРИК,2012-09-24,21.9.2012,142.8241,142.8241,142.8241
НЛБ Америка,2012-09-24,21.9.2012,85.09,85.09,85.09
КБ Инвест - Балансиран,2012-09-24,21.9.2012,87.4407,87.4407,87.4407
КБ Инвест - Обврзници,2012-09-24,21.9.2012,106.3011,106.3011,106.3011
КБ Инвест Паричен,2012-09-24,21.9.2012,104.2679,104.2679,104.2679
НЛБ Кеш Депозит,2012-09-24,21.9.2012,100.063,100.063,100.063
Генерали Југоисточна Европа,2012-09-21,20.9.2012,44.0297,44.0297,44.0297
Генерали Глобал- Растечки Пазари,2012-09-21,20.9.2012,47.7719,47.7719,47.7719
Иново Статус Балансиран,2012-09-21,20.9.2012,27.4137,27.4137,27.4137
НЛБ БРИК,2012-09-21,20.9.2012,141.3576,141.3576,141.3576
НЛБ Америка,2012-09-21,20.9.2012,85.0408,85.0408,85.0408
КБ Инвест - Балансиран,2012-09-21,20.9.2012,87.2347,87.2347,87.2347
КБ Инвест - Обврзници,2012-09-21,20.9.2012,106.2766,106.2766,106.2766
КБ Инвест Паричен,2012-09-21,20.9.2012,104.2588,104.2588,104.2588
НЛБ Кеш Депозит,2012-09-21,20.9.2012,100.0504,100.0504,100.0504
Генерали Југоисточна Европа,2012-09-20,19.9.2012,44.1467,44.1467,44.1467
Генерали Глобал- Растечки Пазари,2012-09-20,19.9.2012,47.8787,47.8787,47.8787
Иново Статус Балансиран,2012-09-20,19.9.2012,27.3454,27.3454,27.3454
НЛБ БРИК,2012-09-20,19.9.2012,141.615,141.615,141.615
НЛБ Америка,2012-09-20,19.9.2012,85.3937,85.3937,85.3937
КБ Инвест - Балансиран,2012-09-20,19.9.2012,87.3394,87.3394,87.3394
КБ Инвест - Обврзници,2012-09-20,19.9.2012,106.1827,106.1827,106.1827
КБ Инвест Паричен,2012-09-20,19.9.2012,104.2505,104.2505,104.2505
НЛБ Кеш Депозит,2012-09-20,19.9.2012,100.0378,100.0378,100.0378
Генерали Југоисточна Европа,2012-09-19,18.9.2012,44.2643,44.2643,44.2643
Генерали Глобал- Растечки Пазари,2012-09-19,18.9.2012,47.8009,47.8009,47.8009
Иново Статус Балансиран,2012-09-19,18.9.2012,27.3266,27.3266,27.3266
НЛБ БРИК,2012-09-19,18.9.2012,141.6375,141.6374,141.6375
НЛБ Америка,2012-09-19,18.9.2012,85.2987,85.2987,85.2987
КБ Инвест - Балансиран,2012-09-19,18.9.2012,87.0576,87.0576,87.0576
КБ Инвест - Обврзници,2012-09-19,18.9.2012,106.1659,106.1659,106.1659
КБ Инвест Паричен,2012-09-19,18.9.2012,104.2424,104.2424,104.2424
НЛБ Кеш Депозит,2012-09-19,18.9.2012,100.0253,100.0253,100.0253
Генерали Југоисточна Европа,2012-09-18,17.9.2012,44.4184,44.4184,44.4184
Генерали Глобал- Растечки Пазари,2012-09-18,17.9.2012,47.8934,47.8934,47.8934
Иново Статус Балансиран,2012-09-18,17.9.2012,27.3116,27.3116,27.3116
НЛБ БРИК,2012-09-18,17.9.2012,142.4049,142.4049,142.4049
НЛБ Америка,2012-09-18,17.9.2012,85.8069,85.8069,85.8069
КБ Инвест - Балансиран,2012-09-18,17.9.2012,87.435,87.435,87.435
КБ Инвест - Обврзници,2012-09-18,17.9.2012,106.1955,106.1955,106.1955
КБ Инвест Паричен,2012-09-18,17.9.2012,104.2337,104.2337,104.2337
НЛБ Кеш Депозит,2012-09-18,15.9.2012,100.004,100.004,100.004
Генерали Југоисточна Европа,2012-09-17,14.9.2012,44.8075,44.8075,44.8075
Генерали Глобал- Растечки Пазари,2012-09-17,14.9.2012,48.1787,48.1787,48.1787
Иново Статус Балансиран,2012-09-17,14.9.2012,27.3172,27.3172,27.3172
НЛБ БРИК,2012-09-17,14.9.2012,143.6625,143.6625,143.6625
НЛБ Америка,2012-09-17,14.9.2012,85.1945,85.1945,85.1945
КБ Инвест - Балансиран,2012-09-17,14.9.2012,87.794,87.794,87.794
КБ Инвест - Обврзници,2012-09-17,14.9.2012,106.1025,106.1025,106.1025
КБ Инвест Паричен,2012-09-17,14.9.2012,104.2097,104.2097,104.2097
Генерали Југоисточна Европа,2012-09-14,13.9.2012,44.1467,44.1467,44.1467
Генерали Глобал- Растечки Пазари,2012-09-14,13.9.2012,47.7187,47.7187,47.7187
Иново Статус Балансиран,2012-09-14,13.9.2012,27.1756,27.1756,27.1756
НЛБ БРИК,2012-09-14,13.9.2012,140.9085,140.9085,140.9085
НЛБ Америка,2012-09-14,13.9.2012,84.2587,84.2587,84.2587
КБ Инвест - Балансиран,2012-09-14,13.9.2012,87.3264,87.3264,87.3264
КБ Инвест - Обврзници,2012-09-14,13.9.2012,106.0787,106.0787,106.0787
КБ Инвест Паричен,2012-09-14,13.9.2012,104.2006,104.2006,104.2006
Генерали Југоисточна Европа,2012-09-13,12.9.2012,44.5496,44.5496,44.5496
Генерали Глобал- Растечки Пазари,2012-09-13,12.9.2012,47.7204,47.7204,47.7204
Иново Статус Балансиран,2012-09-13,12.9.2012,27.2351,27.2351,27.2351
НЛБ БРИК,2012-09-13,12.9.2012,140.2105,140.2105,140.2105
НЛБ Америка,2012-09-13,12.9.2012,84.4188,84.4188,84.4188
КБ Инвест - Балансиран,2012-09-13,12.9.2012,87.3253,87.3253,87.3253
КБ Инвест - Обврзници,2012-09-13,12.9.2012,106.0681,106.0681,106.0681
КБ Инвест Паричен,2012-09-13,12.9.2012,104.1925,104.1925,104.1925
Генерали Југоисточна Европа,2012-11-09,10.9.2012,44.5085,44.5085,44.5085
Генерали Глобал- Растечки Пазари,2012-11-09,10.9.2012,47.8253,47.8253,47.8253
Иново Статус Балансиран,2012-11-09,10.9.2012,27.44,27.44,27.44
НЛБ БРИК,2012-11-09,10.9.2012,139.5526,139.5526,139.5526
НЛБ Америка,2012-11-09,10.9.2012,84.2144,84.2144,84.2144
КБ Инвест - Балансиран,2012-11-09,10.9.2012,87.4032,87.4032,87.4032
КБ Инвест - Обврзници,2012-11-09,10.9.2012,106.0392,106.0392,106.0392
КБ Инвест Паричен,2012-11-09,10.9.2012,104.1759,104.1759,104.1759
Генерали Југоисточна Европа,2012-10-09,07.9.2012,44.6003,44.6003,44.6003
Генерали Глобал- Растечки Пазари,2012-10-09,07.9.2012,48.1132,48.1132,48.1132
Иново Статус Балансиран,2012-10-09,07.9.2012,27.4625,27.4625,27.4625
НЛБ БРИК,2012-10-09,07.9.2012,140.1793,140.1793,140.1793
НЛБ Америка,2012-10-09,07.9.2012,84.2559,84.2559,84.2559
КБ Инвест - Балансиран,2012-10-09,07.9.2012,87.9297,87.9297,87.9297
КБ Инвест - Обврзници,2012-10-09,07.9.2012,106.0278,106.0278,106.0278
КБ Инвест Паричен,2012-10-09,07.9.2012,104.1518,104.1518,104.1518
Генерали Југоисточна Европа,2012-07-09,06.9.2012,44.199,44.199,44.199
Генерали Глобал- Растечки Пазари,2012-07-09,06.9.2012,47.8275,47.8275,47.8275
Иново Статус Балансиран,2012-07-09,06.9.2012,27.6644,27.6644,27.6644
НЛБ БРИК,2012-07-09,06.9.2012,138.2759,138.2759,138.2759
НЛБ Америка,2012-07-09,06.9.2012,84.3691,84.3691,84.3691
КБ Инвест - Балансиран,2012-07-09,06.9.2012,87.5639,87.5639,87.5639
КБ Инвест - Обврзници,2012-07-09,06.9.2012,105.984,105.984,105.984
КБ Инвест Паричен,2012-07-09,06.9.2012,104.1427,104.1427,104.1427
Генерали Југоисточна Европа,2012-05-09,04.9.2012,43.7846,43.7846,43.7846
Генерали Глобал- Растечки Пазари,2012-05-09,04.9.2012,47.7111,47.7111,47.7111
Иново Статус Балансиран,2012-05-09,04.9.2012,27.6861,27.6861,27.6861
НЛБ БРИК,2012-05-09,04.9.2012,137.5292,137.5292,137.5292
НЛБ Америка,2012-05-09,04.9.2012,84.2201,84.2201,84.2201
КБ Инвест - Балансиран,2012-05-09,04.9.2012,86.8862,86.8862,86.8862
КБ Инвест - Обврзници,2012-05-09,04.9.2012,105.9798,105.9798,105.9798
КБ Инвест Паричен,2012-05-09,04.9.2012,104.1266,104.1266,104.1266
Генерали Глобал- Растечки Пазари,2012-04-09,03.9.2012,47.8525,47.8525,47.8525
Иново Статус Балансиран,2012-04-09,03.9.2012,27.8153,27.8153,27.8153
НЛБ БРИК,2012-04-09,03.9.2012,137.8783,137.8783,137.8783
НЛБ Америка,2012-04-09,03.9.2012,83.9032,83.9032,83.9032
КБ Инвест - Балансиран,2012-04-09,03.9.2012,86.8253,86.8253,86.8253
КБ Инвест - Обврзници,2012-04-09,03.9.2012,105.958,105.958,105.958
КБ Инвест Паричен,2012-04-09,03.9.2012,104.1185,104.1185,104.1185
Генерали Југоисточна Европа,2012-04-09,02.9.2012,43.8986,43.8986,43.8986
Генерали Глобал- Растечки Пазари,2012-03-09,02.9.2012,47.7599,47.7599,47.7599
Иново Статус Балансиран,2012-03-09,02.9.2012,27.8498,27.8498,27.8498
НЛБ БРИК,2012-03-09,02.9.2012,137.7226,137.7226,137.7226
НЛБ Америка,2012-03-09,02.9.2012,84.0246,84.0246,84.0246
КБ Инвест - Балансиран,2012-03-09,02.9.2012,86.8712,86.8712,86.8712
КБ Инвест - Обврзници,2012-03-09,02.9.2012,105.9508,105.9508,105.9508
КБ Инвест Паричен,2012-03-09,02.9.2012,104.1105,104.1105,104.1105
Генерали Југоисточна Европа,2012-01-11,31.10.2012,42.7654,42.7654,42.7654
Генерали Глобал- Растечки Пазари,2012-01-11,31.10.2012,47.3632,47.3632,47.3632
Иново Статус Балансиран,2012-01-11,31.10.2012,27.126,27.126,27.126
НЛБ БРИК,2012-01-11,31.10.2012,141.594,141.594,141.594
НЛБ Америка,2012-01-11,31.10.2012,86.1097,86.1097,86.1097
КБ Инвест - Балансиран,2012-01-11,31.10.2012,84.7151,84.7151,84.7151
КБ Инвест - Обврзници,2012-01-11,31.10.2012,106.7417,106.7417,106.7417
КБ Инвест Паричен,2012-01-11,31.10.2012,104.6176,104.6176,104.6176
Генерали Југоисточна Европа,2012-10-31,30.10.2012,42.7748,42.7748,42.7748
Генерали Глобал- Растечки Пазари,2012-10-31,30.10.2012,47.4057,47.4057,47.4057
Иново Статус Балансиран,2012-10-31,30.10.2012,27.1905,27.1905,27.1905
НЛБ БРИК,2012-10-31,30.10.2012,142.2861,142.2861,142.2861
НЛБ Америка,2012-10-31,30.10.2012,86.0272,86.0272,86.0272
КБ Инвест - Балансиран,2012-10-31,30.10.2012,85.1682,85.1682,85.1682
КБ Инвест - Обврзници,2012-10-31,30.10.2012,106.7459,106.7459,106.7459
КБ Инвест Паричен,2012-10-31,30.10.2012,104.5936,104.5936,104.5936
НЛБ Кеш Депозит,2012-10-31,30.10.2012,100.5519,100.5519,100.5519
Генерали Југоисточна Европа,2012-10-30,29.10.2012,42.6088,42.6088,42.6088
Генерали Глобал- Растечки Пазари,2012-10-30,29.10.2012,47.3678,47.3678,47.3678
Иново Статус Балансиран,2012-10-30,29.10.2012,27.2212,27.2212,27.2212
НЛБ БРИК,2012-10-30,29.10.2012,142.5917,142.5917,142.5917
НЛБ Америка,2012-10-30,29.10.2012,85.4534,85.4534,85.4534
КБ Инвест - Балансиран,2012-10-30,29.10.2012,85.1173,85.1173,85.1173
КБ Инвест - Обврзници,2012-10-30,29.10.2012,106.6891,106.6891,106.6891
КБ Инвест Паричен,2012-10-30,29.10.2012,104.5851,104.5851,104.5851
НЛБ Кеш Депозит,2012-10-30,29.10.2012,100.5396,100.5396,100.5396
Генерали Југоисточна Европа,2012-10-29,26.10.2012,42.6452,42.6452,42.6452
Генерали Глобал- Растечки Пазари,2012-10-29,26.10.2012,47.3041,47.3041,47.3041
Иново Статус Балансиран,2012-10-29,26.10.2012,27.1929,27.1929,27.1929
НЛБ БРИК,2012-10-29,26.10.2012,142.3082,142.3082,142.3082
НЛБ Америка,2012-10-29,26.10.2012,85.7629,85.7629,85.7629
КБ Инвест - Балансиран,2012-10-29,26.10.2012,85.2057,85.2057,85.2057
КБ Инвест - Обврзници,2012-10-29,26.10.2012,106.6624,106.6624,106.6624
КБ Инвест Паричен,2012-10-29,26.10.2012,104.5602,104.5602,104.5602
НЛБ Кеш Депозит,2012-10-29,26.10.2012,100.5026,100.5026,100.5026
Генерали Југоисточна Европа,2012-10-26,25.10.2012,42.6983,42.6983,42.6983
Генерали Глобал- Растечки Пазари,2012-10-26,25.10.2012,47.4506,47.4506,47.4506
Иново Статус Балансиран,2012-10-26,25.10.2012,26.9407,26.9407,26.9407
НЛБ БРИК,2012-10-26,25.10.2012,143.2919,143.2919,143.2919
НЛБ Америка,2012-10-26,25.10.2012,85.9547,85.9547,85.9547
КБ Инвест - Балансиран,2012-10-26,25.10.2012,85.3291,85.3291,85.3291
КБ Инвест - Обврзници,2012-10-26,25.10.2012,106.6068,106.6068,106.6068
КБ Инвест Паричен,2012-10-26,25.10.2012,104.5511,104.5511,104.5511
НЛБ Кеш Депозит,2012-10-26,25.10.2012,100.4903,100.4903,100.4903
Генерали Југоисточна Европа,2012-10-25,24.10.2012,42.5678,42.5678,42.5678
