Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
ВФП Премиум Акции,2025-10-15,14.10.2025,195.114,195.114,195.114
КБ Инвест - Златен фонд,2025-10-15,14.10.2025,194.1006,194.1006,194.1006
ВФП Кеш Депозит,2025-10-15,14.10.2025,122.3946,122.3946,122.3946
Граве Глобал,2025-10-15,14.10.2025,174.759,174.759,174.759
ВФП Дивиденда Акции,2025-10-15,14.10.2025,161.894,161.894,161.894
КБ Инвест - Акции,2025-10-15,14.10.2025,139.0439,139.0439,139.0439
ВЕГА СВЕТ,2025-10-15,14.10.2025,114.7404,114.7404,114.7404
ВФП БОНД,2025-10-14,13.10.2025,130.0427,130.0427,130.0427
НЛБ Америка,2025-10-14,13.10.2025,185.3162,185.3162,185.3162
НЛБ БРИК,2025-10-14,13.10.2025,169.2019,169.2019,169.2019
Иново Статус Солар,2025-10-14,13.10.2025,68.871,68.871,68.871
ВЕГА КЕШ,2025-10-14,13.10.2025,109.8537,109.8537,109.8537
ВЕГА ФИНАНСИИ,2025-10-14,13.10.2025,168.7131,168.7131,168.7131
ВЕГА СВЕТ,2025-10-14,13.10.2025,114.9727,114.9727,114.9727
КБ Инвест - Златен фонд,2025-10-14,13.10.2025,194.7475,194.7475,194.7475
КБ Инвест - Акции,2025-10-14,13.10.2025,139.6609,139.6609,139.6609
ВФП Дивиденда Акции,2025-10-14,13.10.2025,162.3737,162.3737,162.3737
Граве Флекс Бонд Евро,2025-10-14,13.10.2025,117.2446,117.2446,117.2446
ВЕГА ТЕХНОЛОГИЈА,2025-10-14,13.10.2025,198.7512,198.7512,198.7512
НЛБ Обврзници,2025-10-14,13.10.2025,104.1842,104.1842,104.1842
КБ Инвест - Обврзници,2025-10-14,13.10.2025,157.8415,157.8415,157.8415
ВФП Етикс Акции,2025-10-14,13.10.2025,102.9496,102.9496,102.9496
Иново Статус Балансиран,2025-10-14,13.10.2025,45.1988,45.1988,45.1988
Граве Глобал,2025-10-14,13.10.2025,175.3859,175.3859,175.3859
КБ Инвест - Балансиран,2025-10-14,13.10.2025,247.6521,247.6521,247.6521
КБ Инвест - МБИ 10,2025-10-14,13.10.2025,437.4883,437.4883,437.4883
КБ Инвест Паричен,2025-10-14,13.10.2025,143.2352,143.2352,143.2352
ВФП Премиум Акции,2025-10-14,13.10.2025,195.4163,195.4163,195.4163
НЛБ Топ Брендови,2025-10-14,13.10.2025,189.0361,189.0361,189.0361
НЛБ Кеш Депозит,2025-10-14,13.10.2025,134.2675,134.2675,134.2675
ВФП Дивиденда Акции,2025-10-13,12.10.2025,160.8946,160.8946,160.8946
ВЕГА ТЕХНОЛОГИЈА,2025-10-13,11.10.2025,192.202,192.202,192.202
КБ Инвест - Златен фонд,2025-10-13,11.10.2025,188.4203,188.4203,188.4203
КБ Инвест - Акции,2025-10-13,11.10.2025,138.5335,138.5335,138.5335
ВЕГА СВЕТ,2025-10-13,12.10.2025,112.8026,112.8026,112.8026
